,ROI,dataset,test_subject,bestK,CV_K
0,early_visual,sherlock,1,47,53.0
1,early_visual,sherlock,2,66,51.0
2,early_visual,sherlock,3,54,52.0
3,early_visual,sherlock,4,65,51.0
4,early_visual,sherlock,5,54,52.0
5,early_visual,sherlock,6,58,52.0
6,early_visual,sherlock,7,61,52.0
7,early_visual,sherlock,8,50,52.0
8,early_visual,sherlock,9,40,53.0
9,early_visual,sherlock,10,50,52.0
10,early_visual,sherlock,11,35,53.0
11,early_visual,sherlock,12,47,53.0
12,early_visual,sherlock,13,65,51.0
13,early_visual,sherlock,14,28,54.0
14,early_visual,sherlock,15,57,52.0
15,early_visual,sherlock,16,60,52.0
