,subject,method,K,zscore,min_dist_med
0,1,UMAP,31,-0.5126615527661478,20.0
1,2,UMAP,31,0.8740896685106205,14.5
2,3,UMAP,31,2.604335148476645,12.5
3,4,UMAP,31,-1.41863068964129,23.0
4,5,UMAP,31,0.449623986663864,21.0
5,6,UMAP,31,-0.02903572602340207,22.0
6,7,UMAP,31,-0.12635127024127454,18.5
7,8,UMAP,31,0.3691540036656675,13.0
8,9,UMAP,31,1.9688137334864568,19.5
9,10,UMAP,31,0.4006156150969633,16.5
10,11,UMAP,31,0.030433688900799026,17.0
11,12,UMAP,31,0.9220912001428092,14.5
12,13,UMAP,31,0.8194110216222037,13.5
13,14,UMAP,31,0.4943040341936018,14.5
14,15,UMAP,31,1.309235399518724,12.0
15,16,UMAP,31,0.43052102021274,12.0
16,1,PCA,31,0.3037383410693031,21.5
17,2,PCA,31,0.9995977596898032,12.0
18,3,PCA,31,2.0762185156756194,11.0
19,4,PCA,31,0.4323539917684042,19.5
20,5,PCA,31,1.7047271686129406,10.5
21,6,PCA,31,-0.07167087481759644,17.0
22,7,PCA,31,0.13581750110100632,18.0
23,8,PCA,31,-0.1318352006691164,15.5
24,9,PCA,31,-0.16840959651456636,12.0
25,10,PCA,31,0.9540140367734072,11.5
26,11,PCA,31,-0.13050493652825354,19.5
27,12,PCA,31,2.1737688699303894,9.5
28,13,PCA,31,1.282183931106522,15.5
29,14,PCA,31,-0.6134602195611817,15.0
30,15,PCA,31,-1.0417485660801402,18.0
31,16,PCA,31,-0.5503113775591701,20.0
32,1,TPHATE,31,3.2005557436734815,7.0
33,2,TPHATE,31,0.9388940222193879,14.5
34,3,TPHATE,31,0.4596563268251942,13.0
35,4,TPHATE,31,0.37582610832606544,12.0
36,5,TPHATE,31,0.8781752612382762,14.0
37,6,TPHATE,31,0.3339818547832113,12.0
38,7,TPHATE,31,1.2905115811145758,11.5
39,8,TPHATE,31,0.8462099638993862,12.0
40,9,TPHATE,31,-0.02311701346897802,14.5
41,10,TPHATE,31,0.3373344640812683,17.0
42,11,TPHATE,31,-0.5196598482852611,20.0
43,12,TPHATE,31,0.8560825234199457,16.5
44,13,TPHATE,31,1.1560793276969246,11.0
45,14,TPHATE,31,0.4295416583020612,15.0
46,15,TPHATE,31,2.4587668368975577,9.5
47,16,TPHATE,31,2.2595486108970952,9.5
48,1,PHATE,31,0.3954825410371327,15.0
49,2,PHATE,31,2.134120933164723,10.0
50,3,PHATE,31,1.7604580413715554,13.0
51,4,PHATE,31,-0.0782253469080169,18.5
52,5,PHATE,31,1.7614685144206657,14.5
53,6,PHATE,31,0.8389400022552955,14.0
54,7,PHATE,31,-0.16805931986317715,16.5
55,8,PHATE,31,-0.4625231072661125,15.0
56,9,PHATE,31,-1.93321215753014,19.0
57,10,PHATE,31,0.8218961487586014,13.0
58,11,PHATE,31,0.8932793995207587,14.0
59,12,PHATE,31,1.8325743348510215,13.0
60,13,PHATE,31,1.6976060792721377,14.0
61,14,PHATE,31,1.3558612734998825,16.5
62,15,PHATE,31,0.7864499858535869,20.0
63,16,PHATE,31,-0.5068072760544219,17.0
